season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,was_home,yellow_cards,GW,season_weight,predicted_points,is_selected,value
2024-25,Eddie Nketiah,FWD,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_10,6.0
2024-25,Ethan Nwaneri,MID,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_11,4.5
2024-25,Martin Ødegaard,MID,Arsenal,0,0,20,2,58.2,-1.0,-1.0,0,0,11.8,24.4,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,5,0.0,0.0,0.0,,1,0.0,0.5,5.09,is_selected_12,8.5
2024-25,Aaron Ramsdale,GK,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_13,4.5
2024-25,David Martin,GK,Arsenal,0,4,55,2,0.0,-1.0,-1.0,0,0,5.6,56.2,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,,0,0.0,0.5,16.43,is_selected_14,5.5
2024-25,Declan Rice,MID,Arsenal,0,0,27,2,25.7,-1.0,-1.0,0,0,8.0,25.4,Unknown,174,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,5,0.0,0.0,0.0,,1,0.0,0.5,5.43,is_selected_15,6.5
2024-25,Bukayo Saka,MID,Arsenal,2,2,63,2,89.1,-1.0,-1.0,0,1,28.6,92.0,Unknown,166,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,105.0,18,0.0,0.0,0.0,,1,0.0,0.5,18.93,is_selected_16,10.0
2024-25,William Saliba,DEF,Arsenal,0,0,50,2,2.1,-1.0,-1.0,0,0,4.1,38.6,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,,0,0.0,0.5,11.59,is_selected_17,6.0
2024-25,Thomas Partey,MID,Arsenal,0,3,43,2,51.1,-1.0,-1.0,0,1,11.4,53.8,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,14,0.0,0.0,0.0,,0,0.0,0.5,12.54,is_selected_18,5.0
2024-25,Kieran Tierney,DEF,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_19,4.5
2024-25,Tomiyasu Takehiro,DEF,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_20,5.0
2024-25,Leandro Trossard,MID,Arsenal,0,1,27,0,0.8,-1.0,-1.0,0,1,6.5,37.8,Unknown,35,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.0,8,0.0,0.0,0.0,,0,0.0,0.5,7.81,is_selected_21,7.0
2024-25,Benjamin White,DEF,Arsenal,0,0,45,2,8.1,-1.0,-1.0,0,0,3.5,15.0,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,12,0.0,0.0,0.0,,0,0.0,0.5,11.29,is_selected_22,6.5
2024-25,Oleksandr Zinchenko,DEF,Arsenal,0,0,22,1,4.9,-1.0,-1.0,0,0,1.8,7.2,Unknown,68,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,6,0.0,0.0,0.0,,0,0.0,0.5,5.99,is_selected_23,5.0
2024-25,Riccardo Calafiori,DEF,Arsenal,0,0,2,0,0.0,-1.0,-1.0,0,0,0.0,0.4,Unknown,11,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,,0,0.0,0.5,0.89,is_selected_24,6.0
2024-25,Myles Lewis-Skelly,MID,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_25,4.5
2024-25,Leon Bailey,MID,Aston Villa,0,0,11,0,45.0,-1.0,-1.0,3,0,8.8,14.6,Unknown,163,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,3,0.0,0.0,0.0,,1,0.0,0.5,2.95,is_selected_26,6.5
2024-25,Ross Barkley,MID,Aston Villa,0,0,2,0,1.6,-1.0,-1.0,1,0,0.2,0.0,Unknown,14,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,,0,0.0,0.5,0.91,is_selected_27,5.5
2024-25,Enzo Barrenechea,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_28,5.0
2024-25,Emiliano Stati,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_29,5.5
2024-25,Matty Cash,DEF,Aston Villa,0,0,10,0,12.4,-1.0,-1.0,1,0,2.6,9.6,Unknown,96,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,3,0.0,0.0,0.0,,0,0.0,0.5,2.76,is_selected_30,4.5
2024-25,Leander Dendoncker,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_31,4.5
2024-25,Moussa Diaby,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_32,6.5
2024-25,Diego Carlos Silva,DEF,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_33,4.5
2024-25,Lucas Digne,DEF,Aston Villa,0,0,22,0,21.0,-1.0,-1.0,2,0,5.4,33.0,Unknown,148,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,,0,0.0,0.5,3.48,is_selected_34,4.5
2024-25,Lewis Dobbin,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_35,5.0
